ABSTRACT 抽象的
ACCESS 存取
ACCURACY 正確性
ACTIVATE 啟用
ACTUAL 實際的
ADDRESS 位址
ADJACENCY 相鄰
ANALYSIS 分析
ANACESTOR 祖先
ARRAY 陣列
ARGUMENT 引數
ASSEMNLER 組譯器
ASSIGN 設定;指派
APPLICATION 應用
AUTHENTICATION 認證
BARCHART 長條圖
BATCH 批次
BINARY 二進位
BIT 位元
BITMAP 位元圖
BLOCK 區塊
BRANCH 分支
BREAK 中斷
BRIDGE 橋接器
BROWSER 瀏覽器
BUBBLESORT 氣泡排序法
BUG 錯誤
BUS 匯流排
BYTE 位元組
CACHE 快取
CALL 呼叫
CHART 圖表
CHILD 子
CLASS 類別
CODE 碼
COMPILER 編譯器
COMPUTER 電腦
COMMUNICATION 	聯繫;通信
COMPRESSION 壓縮
CONVERSION 轉換
CONNECT 連接
CONSTANT 常數
CONTENT 內容
CONTINUE 繼續
CONTROL 控制
CONVERT 轉換
COUNTER 計數器
CURRENT 當前的
CYCLE 迴圈;循環;週期
DATA 資料
DATABASE 資料庫
DEADLOCK 死結
DEBUG 除錯
DECIMAL 十進位的
DECLARATION 宣告
DECREMENT 遞減
DECRYPTION 解密
DECODING 解碼
DEFAULT 預設
DEFINITION 定義
DELEGATE 委派
DELEVERY 傳遞
DEMAND 需求的
DESTINATION 目的地
DEGREE 度數
DERIVED 衍生
DESIGN 設計
DEVICE 設備
DEQUEUE 刪除佇列
DEPTHFIRST 深度優先
DIAGRAM 流程圖
DIGIT 數字
DIGITAL 數位的
DIRECT 直接
DISK 磁碟
DIFFERENCE 差異
DOCUMENT  文件
DOUBLE 雙精度浮點數
DYNAMIC 動態
EDGE 邊
ENCRYPTION 加密
ENQUEUE 新增佇列
ENUMERATION 列舉
ERROR 錯誤
EFFICIENCY 效率
EXECUTE 執行
EXPRESSION 表示式;算數式
EXTENDED 擴衝的
EXTERNAL 外部
FACTOR 因子
FALSE 假
FETCH 擷取
FIELD 欄位
FILE 檔案
FLAG 旗標
FLIP 翻轉
FLOAT 浮點數
FLOWCHART 流程圖
FORMAT 格式
FRAME 框;框架;訊息框
FRACTION 分數
FRAGMENT 分段
FREQUENCY 頻率
FUCTION 函式
FUZZY 模糊
GATEWAY 閘道器
GENERAL 一般性
GLOBAL 全域
GRAPH 圖形
HARDWARE 硬體
HEADER 標頭
HEIGHT 高
HEXADECIMAL 十六進位
HIGHLEVEL 高階
HISTOGRAM 直方圖
IDENTIFIER 識別符號
IMAGE 影像
INCREMENT 遞增
INDEX 索引
INHERITANCE 繼承
INITIALIZE 初始化
INSTRUCTION 指令
INTEGER 整數
INTERNAL 內部
INTERNET 網路
INTERFACE 介面
INTERSECTION 交集
ISOLATED 獨立式
ITERATOR 迭代器
JOB 工作
JOIN 合併
KEY 鍵值
KEYBOARD 鍵盤
LANGUAGE 語言
LAYER 層
LEVEL 階層
LINEAR 線性的
LINK 鏈結
LIST 串列
LIFECICLE 生命週期
LOCAL 本地
LOGICAL 邏輯的
LOOP 迴圈
LOSSLESS 不失真的
MACHINE 機器
MAIN 主要的
MASK 遮罩
MAXIMUM 最大
MINIMUM 最小
MEMORY 記憶體
METHOD 方法
MODEL 模型
MODULE 模組
NODE 節點
MONITOR 顯示器
NEGATIVE 負的
NETWORK 網路
NORMAL 正規的
NORMALIZATION 正規化
NOTATION 符號
NULL 空的
OCTAL 八進位
OPERAND 運算元
OPERATION 運算
OPERATOR 運算子
ORDERED 有序的
OUTPUT 輸出
OVERFLOW 溢位
OVERLOAD 多載
PARAMETER 參數
PARALLEL 平行
PARENT 父母
PATH 路徑
PATTERN 樣式
PHYSICAL 實體的
POINTER 指標
POP 彈出
POSTFIX 後序
POSITIVE 正的
PREFIX 前序
PRECISION 精確度
PREORDER 前序
PRIVATE 私有的
PROBLEM 問題
PROCEDURE 程序
PROCESS 行程
PROCESSOR 處理器
PRODUCT 乘積
PROGRAM 程式
PROTOCOL 協定
PROJECT 計畫
PUBLIC 公共的
PUSH 推入
QUALITY 品質
QUEUE 佇列
RANDOM 隨機
RECURSION 遞迴
RETURN 回傳
REFERENCE 參考
REGISTER 暫存器
RELATION 關聯
RESOLUTION 解決
RESTRICTED 限制性
ROUTER 路由器
ROOT 樹根
SAMPLING 取樣
SEARCH 搜尋
SECURITY 安全
SEEK 搜尋
SEGMENT 分段
SESSION 交談
SET 集合
SIMULATION 模擬
SINGLE 單一
SORTING 排序
SOFTWARE 軟體
SOURCE 來源
SHIFT 移位
SPACE 空間
SPEED 速度
STACK 堆疊
STANDARD 標準
STATE 狀態
STATEMENT 敘述
STATIC 靜態的
STARVATION 飢餓
STRUCTURE 結構
STRING 字串
SWITCH 開關;交換器;轉移
SUM 總和
SYNTAX 語法
SYMBOLIC 符號的
SYNONYM 同義詞
TABLE 表格
TEST 測試
THROW 丟
TRANSFER 轉移
TRANSPORT 傳輸
TRAVERSAL 拜訪
TOKEN 字符
TOPOLOGY 拓樸
TRACK 軌
TRAILER 尾部
TRANSLATOR 轉譯器
TREE 數
TRUE 真
TRY 嘗試
TUPLE 值別
UPDATE 更新
UNICODE 萬國碼
UNION 聯集
UNIT 單元;單位
UNSIGNED 無號的
USER 使用者
VARIABLE 變數
VECTOR 向量
VERTEX 頂點
VIDEO 影片
VIRTUAL 虛擬
VOID 空
